S.No.,EmployeeID,Managerial Status,Team Size,Work Schedule Flexibility,Project Type,Tenure,Work Hours Per Week,Commute Distance,Churn
1021,1452-XRSJV,Manager,Small,Flexible,Support,45,30.5525,5.132,No
1022,3422-WJOYD,Manager,Medium,Flexible,Development,34,30.7175,3.8529,No
1023,8242-SOQUO,Manager,Small,Fixed,Maintenance,11,32.235,1.785,No
1024,7460-ITWWP,Manager,Small,Fixed,Maintenance,51,32.305,8.7229,No
1025,7147-AYBAA,Manager,Small,Fixed,Development,43,31.5175,6.1058,No
1026,7868-TMWMZ,Manager,Large,Fixed,Research,66,33.5,14.3367,No
1027,4822-RVYBB,Manager,Small,Fixed,Maintenance,14,33.03,2.6388,Yes
1028,6732-FZUGP,Manager,Medium,Flexible,Support,53,32.745,10.2305,No
1029,8436-BJUMM,Manager,Small,Fixed,Maintenance,32,32.1875,5.1412,Yes
1030,4184-TJFAN,Manager,Small,Fixed,Development,9,32.415,1.5475,Yes
1031,8329-GWVPJ,Manager,Small,Fixed,Research,56,31.4875,8.1154,No
1032,1352-VHKAJ,Manager,Small,Flexible,Research,33,31.58,4.9142,No
1033,4145-UQXUQ,Manager,Small,Fixed,Maintenance,14,32.605,2.4599,Yes
1034,2632-TACXW,Manager,Large,Flexible,Research,68,29.1825,3.8335,No
1035,8146-QQKZH,Manager,Large,Flexible,Research,77,32.0925,12.8488,No
1036,1767-CJKBA,Manager,Large,Flexible,Development,72,29.255,4.3954,No
1037,6445-TNRXS,Manager,Large,Fixed,Research,74,33.735,16.6997,No
1038,4581-LNWUM,Non-Manager,Small,Flexible,Maintenance,19,30.4575,2.2988,No
1039,4869-EPIUS,Manager,Medium,Fixed,Maintenance,62,32.045,10.115,No
1040,9948-YPTDG,Manager,Small,Fixed,Maintenance,44,31.9725,7.0261,Yes
1041,1236-WFCDV,Manager,Small,Flexible,Support,20,32.5225,3.5322,Yes
1042,1915-OAKWD,Manager,Medium,Fixed,Research,22,28.965,1.7207,No
1043,7296-PIXQY,Manager,Small,Flexible,Maintenance,20,31.51,3.093,No
1044,4883-QICIH,Manager,Small,Fixed,Research,38,31.4875,5.6958,Yes
1045,3354-OADJP,Manager,Medium,Flexible,Research,14,30.7125,1.8955,No
1046,3524-WQDSG,Manager,Small,Fixed,Research,49,32.965,9.4199,No
1047,0810-DHDBD,Manager,Medium,Flexible,Support,58,31.7,8.7553,No
1048,4026-SKKHW,Manager,Small,Fixed,Development,9,30.5125,1.3046,No
1049,2829-HYVZP,Manager,Medium,Fixed,Development,35,28.99,2.1444,No
1050,8329-IBCTI,Manager,Small,Flexible,Development,7,28.9825,1.0393,Yes
1051,1271-SJBGZ,Non-Manager,Small,Fixed,Maintenance,18,30.1825,2.0539,Yes
1052,3845-JHAMY,Non-Manager,Small,Fixed,Support,22,29.775,2.1054,No
1053,7013-PSXHK,Manager,Medium,Fixed,Development,46,32.0375,7.4173,No
1054,5669-SRAIP,Non-Manager,Small,Flexible,Maintenance,11,29.975,1.4215,Yes
1055,5981-ITEMU,Manager,Small,Fixed,Research,46,32.855,8.4139,Yes
1056,3486-NPGST,Manager,Medium,Flexible,Development,42,28.9775,2.2415,No
1057,6941-PMGEP,Manager,Small,Fixed,Maintenance,11,32,1.825,Yes
1058,1624-WOIWJ,Manager,Small,Fixed,Development,16,32.235,2.6641,Yes
1059,2074-GKOWZ,Manager,Small,Fixed,Research,8,32.4775,1.3711,Yes
1060,0376-YMCJC,Manager,Small,Fixed,Maintenance,29,32.53,4.8864,Yes
1061,6100-FJZDG,Manager,Medium,Fixed,Research,32,29.0025,2.0118,No
1062,4829-ZLJTK,Manager,Large,Fixed,Maintenance,78,33.62,17.0937,No
1063,1730-VFMWO,Manager,Small,Flexible,Research,40,30.51,4.6306,No
1064,7143-BQIBA,Manager,Small,Flexible,Research,16,31.1125,2.2259,No
1065,3800-LYTRK,Manager,Medium,Flexible,Development,20,30.785,2.5903,No
1066,0634-SZPQA,Manager,Small,Fixed,Research,29,32.5025,5.3396,Yes
1067,9646-NMHXE,Manager,Large,Flexible,Development,53,28.9825,2.9462,No
1068,7030-NJVDP,Manager,Small,Fixed,Maintenance,30,32.4625,5.4204,No
1069,5536-RTPWK,Manager,Small,Fixed,Research,55,32.9525,10.7075,Yes
1070,8883-GRDWQ,Manager,Medium,Flexible,Development,26,30.7,3.1118,No
1071,6166-ILMNY,Manager,Small,Flexible,Research,8,31.4875,1.2891,Yes
1072,3097-NNSPB,Manager,Small,Fixed,Support,8,30.4525,1.1822,Yes
1073,7771-ZONAT,Non-Manager,Large,Flexible,Research,28,30.8375,3.6097,No
1074,0655-RBDUG,Manager,Small,Fixed,Research,13,32.9025,2.426,Yes
1075,2111-DWYHN,Manager,Small,Flexible,Development,7,29.055,1.0422,No
1076,4194-WHFCB,Manager,Small,Fixed,Research,65,32.8325,12.1616,No
1077,4121-AGSIN,Manager,Medium,Fixed,Support,64,29.225,3.9958,No
1078,4361-BKAXE,Manager,Small,Fixed,Research,47,33.725,10.0549,Yes
1079,9845-PEEKO,Manager,Large,Fixed,Support,65,31.96,10.1807,No
1080,0455-XFASS,Manager,Small,Fixed,Maintenance,9,31.4775,1.4004,No
1081,0301-KOBTQ,Manager,Large,Fixed,Research,38,29.0025,2.2289,No
1082,1751-NCDLI,Manager,Small,Fixed,Maintenance,52,32.9425,10.1298,No
1083,4367-NUYAO,Manager,Large,Flexible,Development,6,29.2875,5.566600882,No
1084,9878-TNQGW,Manager,Small,Fixed,Maintenance,8,32.0475,1.3423,Yes
1085,9170-ARBTB,Manager,Medium,Flexible,Support,58,28.98,3.0248,No
1086,4441-NIHPT,Manager,Small,Fixed,Maintenance,19,31.715,2.8807,Yes
1087,8999-BOHSE,Manager,Small,Flexible,Research,17,32.485,3.0954,Yes
1088,7241-AJHFS,Manager,Small,Flexible,Research,38,32.3825,6.5328,No
1089,7029-RPUAV,Manager,Small,Fixed,Support,23,33.0225,4.2449,Yes
1090,4546-FOKWR,Manager,Small,Fixed,Support,22,31.7375,3.2587,No
1091,9036-CSKBW,Manager,Medium,Flexible,Research,57,33.3725,12.3618,No
1092,5832-TRLPB,Manager,Medium,Fixed,Research,35,31.7675,5.4878,No
1093,8590-YFFQO,Manager,Large,Flexible,Support,76,31.2475,10.0465,No
1094,8659-IOOPU,Manager,Large,Flexible,Maintenance,77,33.0225,15.3194,No
1095,1338-CECEE,Manager,Medium,Flexible,Research,47,31.425,6.6799,No
1096,7439-DKZTW,Manager,Small,Fixed,Maintenance,7,32.0275,1.1611,No
1097,4646-QZXTF,Manager,Small,Flexible,Research,13,32.0625,2.1602,No
1098,4607-CHPCA,Manager,Medium,Fixed,Maintenance,31,32.52,5.3572,Yes
1099,9742-XOKTS,Manager,Medium,Flexible,Maintenance,73,32.4775,13.0771,No
1100,6921-OZMFH,Manager,Small,Fixed,Development,11,30.785,1.5188,No
1101,9578-FOMUK,Manager,Small,Fixed,Maintenance,21,29.24,1.6483,No
1102,4712-UYOOI,Manager,Small,Flexible,Maintenance,26,29,1.8353,No
1103,8824-RWFXJ,Manager,Small,Fixed,Development,9,30.8075,1.3363,Yes
1104,7722-CVFXN,Manager,Medium,Fixed,Maintenance,60,33.26,12.2757,No
1105,8717-VCTXJ,Manager,Medium,Fixed,Development,48,28.9775,2.6788,No
1106,7363-QTBIW,Manager,Small,Fixed,Maintenance,15,31.9875,2.5382,No
1107,4159-NAAIX,Manager,Large,Flexible,Research,69,32.8725,13.506,No
1108,0971-QIFJK,Manager,Large,Flexible,Research,75,29.2125,4.2836,No
1109,9397-TZSHA,Manager,Large,Flexible,Support,75,29.23,4.3561,No
1110,3391-JSQEW,Manager,Small,Fixed,Development,46,30.5075,5.117,No
1111,0343-QLUZP,Non-Manager,Large,Flexible,Research,66,29.98,5.849,No
1112,9763-PDTKK,Manager,Small,Fixed,Research,10,32.72,1.7744,Yes
1113,2176-LVPNX,Manager,Large,Flexible,Development,77,32.4925,13.5869,No
1114,7627-JKIAZ,Manager,Small,Fixed,Support,43,31.9475,6.6793,Yes
1115,3312-UUMZW,Manager,Small,Fixed,Support,38,32.9425,7.2918,No
1116,1271-UODNO,Manager,Large,Fixed,Support,45,30.6925,5.4014,No
1117,8461-EFQYM,Manager,Medium,Fixed,Maintenance,44,29.2125,2.8288,No
1118,6900-RBKER,Manager,Large,Fixed,Support,58,32.4725,10.1555,No
1119,6891-JPYFF,Manager,Small,Fixed,Support,54,33.2625,10.995,No
1120,1459-QNFQT,Non-Manager,Large,Flexible,Research,76,30.975,9.2896,No
1121,1047-NNCBF,Manager,Small,Flexible,Support,26,31.5275,3.9871,No
1122,3696-XRIEN,Manager,Medium,Fixed,Support,56,32.125,9.3582,No
1123,4081-DYXAV,Non-Manager,Medium,Fixed,Support,25,30.2425,2.7871,Yes
1124,0074-HDKDG,Manager,Medium,Fixed,Research,31,31.08,4.222,No
1125,8791-GFXLZ,Manager,Small,Fixed,Research,18,30.4525,2.1861,No
1126,8111-SLLHI,Manager,Small,Fixed,Maintenance,45,33.2825,9.5696,Yes
1127,0927-LCSMG,Manager,Small,Flexible,Development,13,31.7325,2.0891,Yes
1128,9330-DHBFL,Manager,Medium,Fixed,Development,29,31.3125,4.0676,No
1129,0098-BOWSO,Manager,Small,Fixed,Maintenance,33,28.97,2.0596,No
1130,3452-ABWRL,Manager,Small,Fixed,Support,53,32.3025,8.7312,No
1131,5859-HZYLF,Manager,Large,Fixed,Support,32,28.9575,2.0315,No
1132,8257-RZAHR,Manager,Small,Fixed,Research,20,31.235,2.882,Yes
1133,5293-WXJAK,Manager,Small,Fixed,Research,17,33.2025,3.2673,Yes
1134,3156-QLHBO,Manager,Small,Flexible,Development,8,28.9625,1.0967,No
1135,2208-NQBCT,Manager,Small,Flexible,Maintenance,32,32.0975,5.1401,No
1136,1779-PWPMG,Manager,Large,Fixed,Research,78,33.7325,17.6679,No
1137,6621-NRZAK,Manager,Large,Flexible,Support,69,29,3.4185,No
1138,0831-JNISG,Manager,Large,Flexible,Development,77,28.99,3.7925,No
1139,0774-IFUVM,Manager,Small,Fixed,Research,17,31.2575,2.4467,No
1140,3082-WQRVY,Manager,Medium,Flexible,Development,20,28.9825,1.4573,No
1141,9553-DLCLU,Manager,Large,Flexible,Support,19,32.4475,3.3235,No
1142,1641-BYBTK,Manager,Small,Fixed,Development,12,29.01,1.1967,No
1143,2460-NGXBJ,Manager,Small,Fixed,Support,17,31.76,2.5506,No
1144,2446-ZKVAF,Manager,Small,Flexible,Support,24,30.84,3.1493,No
1145,0841-NULXI,Non-Manager,Small,Fixed,Maintenance,7,29.7775,1.0711,Yes
1146,3522-CDKHF,Manager,Small,Fixed,Research,38,31.775,5.6494,No
1147,1430-SFQSA,Non-Manager,Medium,Flexible,Development,35,29.78,3.1452,No
1148,0411-EZJZE,Manager,Small,Fixed,Maintenance,9,31.0125,1.341,No
1149,7851-WZEKY,Manager,Small,Fixed,Maintenance,8,32.7575,1.3938,Yes
1150,8844-TONUD,Manager,Small,Fixed,Development,19,32.8325,3.3257,Yes
1151,8807-ARQET,Non-Manager,Small,Fixed,Maintenance,47,30.0175,4.3557,No
1152,8992-CEUEN,Manager,Small,Flexible,Maintenance,7,28.9425,1.0377,No
1153,4320-QMLLA,Manager,Small,Flexible,Development,13,30.7425,1.7408,No
1154,8777-PVYGU,Manager,Medium,Fixed,Development,58,31.215,7.8212,No
1155,8292-ITGYJ,Manager,Large,Fixed,Research,51,29.2325,3.2776,No
1156,6870-ZWMNX,Manager,Large,Flexible,Support,76,31.805,11.5285,No
1157,0621-CXBKL,Manager,Large,Flexible,Development,59,28.935,3.0114,No
1158,5268-DSMNQ,Manager,Medium,Fixed,Support,68,32.8975,12.8731,No
1159,5334-JLAXU,Manager,Small,Fixed,Support,66,32.705,11.9518,No
1160,4086-YQSNZ,Manager,Small,Fixed,Maintenance,9,32.02,1.4481,Yes
1161,6242-MBHPK,Manager,Small,Fixed,Maintenance,29,32.755,5.6521,No
1162,5868-CZJDR,Non-Manager,Small,Fixed,Development,7,29.5675,1.0627,Yes
1163,9359-UGBTK,Manager,Medium,Fixed,Research,73,31.6175,10.983,No
1164,0135-NMXAP,Manager,Small,Fixed,Research,18,32.4875,3.1048,Yes
1165,4782-OSFXZ,Manager,Large,Fixed,Research,77,32.135,12.6624,No
1166,6479-OAUSD,Manager,Medium,Flexible,Support,31,28.995,2.0216,No
1167,7129-ACFOG,Manager,Small,Fixed,Maintenance,11,30.69,1.5679,No
1168,4189-NAKJS,Manager,Medium,Fixed,Support,32,30.5775,3.5908,No
1169,5562-BETPV,Manager,Medium,Flexible,Development,7,28.9825,1.0393,No
1170,1282-IHQAC,Non-Manager,Medium,Fixed,Support,76,30.2025,7.0233,No
1171,9127-FHJBZ,Manager,Large,Fixed,Maintenance,78,33.7,17.1863,No
1172,6270-OMFIW,Manager,Medium,Fixed,Maintenance,66,32.72,12.2205,Yes
1173,1641-RQDAY,Manager,Small,Fixed,Maintenance,38,33.02,7.4353,No
1174,0107-WESLM,Manager,Small,Fixed,Maintenance,7,28.9925,1.0397,Yes
1175,6994-ORCWG,Manager,Medium,Fixed,Development,20,30.7125,2.5464,No
1176,1346-UFHAX,Manager,Small,Fixed,Support,19,32,3.0587,No
1177,3992-YWPKO,Manager,Small,Fixed,Support,12,33.495,2.3389,Yes
1178,2933-XEUJM,Manager,Large,Flexible,Development,52,31.96,8.1876,No
1179,0125-LZQXK,Manager,Small,Fixed,Maintenance,21,33.0675,4.1079,Yes
1180,5461-QKNTN,Manager,Small,Fixed,Maintenance,49,32.715,8.9063,No
1181,4835-YSJMR,Manager,Large,Fixed,Research,45,30.49,4.9423,No
1182,8399-YNDCH,Manager,Small,Fixed,Research,27,31.0025,3.4723,Yes
1183,3164-YAXFY,Non-Manager,Small,Fixed,Maintenance,63,30.6875,7.392,No
1184,0887-WBJVH,Manager,Medium,Fixed,Maintenance,59,32.6725,10.7444,No
1185,4660-IRIBM,Manager,Small,Fixed,Development,24,32.395,4.001,No
1186,5673-FSSMF,Manager,Small,Fixed,Maintenance,7,31.0075,1.1203,Yes
1187,7670-ZBPOQ,Manager,Medium,Fixed,Research,64,31.0525,7.9575,No
1188,8089-UZWLX,Manager,Large,Flexible,Research,77,33.2025,15.8271,No
1189,0080-OROZO,Manager,Medium,Fixed,Maintenance,41,32.9625,8.064,No
1190,3916-NRPAP,Manager,Small,Flexible,Support,9,32.285,1.5135,No
1191,6807-SIWJI,Manager,Medium,Fixed,Maintenance,44,33.2425,8.7745,No
1192,8221-HVAYI,Manager,Large,Fixed,Support,41,31.4575,5.9803,No
1193,1579-KLYDT,Manager,Small,Fixed,Maintenance,13,32.5225,2.1869,Yes
1194,5232-NXPAY,Manager,Large,Flexible,Development,53,31.7225,8.0206,No
1195,8967-SZQAS,Manager,Small,Flexible,Maintenance,20,30.5225,2.5309,No
1196,4468-KAZHE,Manager,Small,Fixed,Maintenance,26,31,3.5187,No
1197,0455-ENTCR,Manager,Large,Flexible,Maintenance,72,32.2625,12.0767,No
1198,8944-AILEF,Manager,Small,Fixed,Support,21,28.9725,1.6817,No
1199,5542-NKVRU,Manager,Large,Fixed,Research,48,29.0375,2.6889,No
1200,7126-RBHSD,Manager,Small,Flexible,Maintenance,23,31.945,3.6979,No
1201,5370-IIVVL,Manager,Medium,Fixed,Support,43,33.225,8.556,No
1202,6789-HJBWG,Manager,Small,Fixed,Maintenance,18,30.47,2.2233,No
1203,3927-NLNRY,Manager,Medium,Fixed,Research,59,32.7125,10.7359,Yes
1204,9087-EYCPR,Manager,Large,Flexible,Development,66,29.25,4.0101,No
1205,6791-YBNAK,Non-Manager,Small,Flexible,Support,24,29.2775,1.9357,No
1206,6358-LYNGM,Manager,Small,Fixed,Maintenance,7,31.745,1.1498,Yes
1207,6077-BDPXA,Manager,Small,Fixed,Maintenance,9,31.5075,1.3884,No
1208,0013-MHZWF,Manager,Small,Fixed,Support,15,31.47,2.1429,No
1209,5494-HECPR,Manager,Small,Fixed,Maintenance,7,32.0125,1.1605,Yes
1210,8268-YDIXR,Manager,Medium,Fixed,Maintenance,62,32.6575,11.5079,No
1211,9824-BEMCV,Manager,Small,Fixed,Maintenance,23,31.45,3.2993,Yes
1212,1373-ORVIZ,Manager,Small,Fixed,Maintenance,17,31.3175,2.4816,Yes
1213,4291-SHSBH,Manager,Small,Fixed,Maintenance,13,31.4775,2.0427,No
1214,6980-IMXXE,Manager,Large,Flexible,Research,75,29.01,3.8253,No
1215,9866-QEVEE,Manager,Small,Fixed,Research,25,32.3,4.0649,Yes
1216,9897-KXHCM,Manager,Small,Fixed,Maintenance,9,32.015,1.5001,Yes
1217,0040-HALCW,Manager,Large,Flexible,Support,60,29.02,3.1812,No
1218,0784-GTUUK,Manager,Medium,Fixed,Support,68,29.1875,3.8936,No
1219,7979-CORPM,Manager,Small,Fixed,Support,30,32.5275,5.5651,Yes
1220,2294-DMMUS,Manager,Small,Fixed,Support,68,31.5225,9.6009,No
1221,0872-JCPIB,Manager,Small,Flexible,Research,23,31.2875,3.2224,No
1222,3055-MJDSB,Non-Manager,Small,Fixed,Development,15,29.23,1.3802,No
1223,9091-WTUUY,Manager,Large,Flexible,Development,70,31.4625,9.8955,No
1224,1618-CFHME,Manager,Small,Fixed,Maintenance,8,31.795,1.2867,Yes
1225,3165-HDOEW,Manager,Small,Fixed,Development,7,30.2925,1.0917,Yes
1226,6581-NQCBA,Non-Manager,Small,Fixed,Maintenance,22,30.4975,2.6204,Yes
1227,7115-IRDHS,Manager,Large,Flexible,Research,78,29.2325,4.6601,No
1228,8496-DMZUK,Manager,Medium,Flexible,Research,36,32.52,6.6413,No
1229,2040-VZIKE,Manager,Small,Fixed,Development,55,33.0425,10.6947,No
1230,9068-VPWQQ,Manager,Large,Flexible,Support,67,31.7675,10.4586,No
1231,0178-SZBHO,Manager,Small,Flexible,Maintenance,53,32.36,9.0349,No
1232,0384-RVBPI,Manager,Small,Flexible,Support,26,31.22,3.7972,No
1233,1689-MRZQR,Manager,Small,Flexible,Maintenance,40,31.915,6.1286,Yes
1234,1299-AURJA,Manager,Large,Flexible,Research,76,29.235,4.3718,No
1235,4525-VZCZG,Manager,Medium,Fixed,Maintenance,60,33.2925,12.6533,No
1236,1543-LLLFT,Manager,Medium,Fixed,Development,67,32.915,13.1331,No
1237,5835-BEQEU,Manager,Small,Fixed,Maintenance,9,31.8475,1.4568,Yes
1238,2788-CJQAQ,Manager,Medium,Flexible,Development,19,28.9725,1.5404,No
1239,5565-FILXA,Manager,Small,Fixed,Maintenance,22,32.8075,4.0584,Yes
1240,0319-QZTCO,Manager,Small,Fixed,Support,9,30.935,1.3372,No
1241,2120-SMPEX,Manager,Small,Fixed,Development,31,29.0075,2.0727,No
1242,0096-FCPUF,Manager,Small,Fixed,Development,36,31.225,4.7769,No
1243,0668-OGMHD,Non-Manager,Small,Flexible,Maintenance,27,29.425,2.2587,No
1244,5552-ZNFSJ,Manager,Small,Flexible,Maintenance,7,30.265,1.0906,Yes
1245,2223-KAGMX,Manager,Small,Flexible,Research,21,28.97,1.5786,Yes
1246,6507-ZJSUR,Manager,Small,Fixed,Maintenance,29,32.5225,5.2345,No
1247,9408-HRXRK,Manager,Small,Fixed,Maintenance,51,33.2575,10.4618,No
1248,5593-SUAOO,Manager,Medium,Flexible,Research,30,32.1575,5.0661,No
1249,7321-PKUYW,Manager,Small,Flexible,Maintenance,17,32.5075,2.9759,Yes
1250,2833-SLKDQ,Manager,Small,Flexible,Development,7,30.2525,1.0901,Yes
1251,6766-HFKLA,Manager,Large,Flexible,Research,62,33.16,12.4887,No
1252,7595-EUIVN,Manager,Small,Flexible,Maintenance,7,31.79,1.1516,Yes
1253,7617-EYGLW,Manager,Small,Flexible,Maintenance,7,28.9725,1.0389,No
1254,2026-TGDHM,Manager,Small,Fixed,Maintenance,13,31.965,2.0463,Yes
1255,9220-ZNKJI,Manager,Large,Flexible,Support,61,32.44,10.6106,No
1256,4030-VPZBD,Non-Manager,Small,Fixed,Maintenance,8,29.545,1.1181,Yes
1257,2226-ICFDO,Manager,Large,Fixed,Support,78,32.295,13.2215,No
1258,0723-VSOBE,Non-Manager,Medium,Flexible,Maintenance,51,29.71,4.1932,No
1259,5529-GIBVH,Manager,Large,Flexible,Development,53,29.0075,3.0924,No
1260,4187-CINZD,Manager,Medium,Flexible,Support,52,32.7625,9.8484,Yes
1261,9992-UJOEL,Manager,Small,Fixed,Development,8,30.515,1.1855,No
1262,4741-WWJQZ,Manager,Small,Fixed,Maintenance,8,32.0075,1.3891,No
1263,6625-UTXEW,Manager,Small,Fixed,Maintenance,18,30.5625,2.2242,No
1264,6818-WOBHJ,Manager,Small,Fixed,Research,74,32.48,13.2552,Yes
1265,6244-BESBM,Manager,Large,Fixed,Support,75,32.76,14.3434,No
1266,1004-NOZNR,Manager,Medium,Flexible,Support,62,32.74,11.5286,No
1267,1251-STYSZ,Manager,Small,Fixed,Maintenance,10,32.0125,1.6074,No
1268,2612-PHGOX,Manager,Large,Fixed,Research,70,31.805,10.6376,No
1269,2408-TZMJL,Manager,Medium,Fixed,Maintenance,65,33.5075,13.8961,Yes
1270,8480-PPONV,Manager,Large,Flexible,Research,68,33.7775,15.3181,No
1271,8780-IHCRN,Manager,Large,Flexible,Support,69,29.2325,4.149,No
1272,4598-ZADCK,Non-Manager,Medium,Fixed,Maintenance,59,30.68,6.7584,No
1273,1257-SXUXQ,Manager,Small,Flexible,Development,11,28.9725,1.1721,No
1274,9681-KYGYB,Manager,Small,Fixed,Maintenance,55,32.41,9.3189,No
1275,7182-OVLBJ,Manager,Large,Fixed,Research,68,33.0575,14.2767,No
1276,5095-ETBRJ,Manager,Large,Flexible,Development,61,30.84,7.2241,No
1277,7005-CYUIL,Manager,Large,Fixed,Maintenance,77,32.97,15.3365,No
1278,4821-WQOYN,Manager,Large,Fixed,Support,78,29.005,3.6525,No
1279,4730-AWNAU,Non-Manager,Medium,Flexible,Support,42,31.035,5.4691,No
1280,3452-FLHYD,Manager,Medium,Fixed,Research,31,29.0475,1.9903,No
1281,2388-LAESQ,Manager,Large,Fixed,Research,78,33.7425,17.6359,No
1282,9531-NSBMR,Manager,Medium,Fixed,Research,42,28.9625,2.3596,No
1283,6260-ONULR,Manager,Small,Fixed,Development,7,31.14,1.1256,No
1284,4389-UEFCZ,Manager,Large,Fixed,Maintenance,78,33.275,16.088,No
1285,8711-LOBKY,Manager,Large,Flexible,Development,65,28.9925,3.3765,No
1286,9134-CEQMF,Manager,Small,Fixed,Maintenance,13,32.475,2.3534,Yes
1287,8985-OOPOS,Manager,Medium,Flexible,Support,7,31.705,1.1482,No
1288,8800-ZKRFW,Manager,Small,Fixed,Maintenance,36,33.375,7.485,No
1289,2616-FLVQC,Manager,Large,Flexible,Development,70,28.9775,3.4803,No
1290,9968-FFVVH,Manager,Medium,Flexible,Research,69,31.44,9.2227,No
1291,3108-PCCGG,Manager,Large,Flexible,Support,78,32.2225,12.7997,No
1292,7993-PYKOF,Manager,Small,Flexible,Maintenance,14,31.75,2.2659,Yes
1293,8390-FESFV,Manager,Large,Flexible,Research,68,32.225,11.3864,No
1294,3022-BEXHZ,Manager,Large,Fixed,Research,73,33.56,16.0616,No
1295,5027-XWQHA,Manager,Small,Flexible,Maintenance,12,30.2375,1.5419,Yes
1296,6248-TKCQV,Manager,Large,Fixed,Research,76,32.03,11.9204,No
1297,6729-GDNGC,Manager,Small,Flexible,Research,26,32.035,4.2284,No
1298,6198-ZFIOJ,Manager,Small,Flexible,Maintenance,11,31.78,1.805,No
1299,5989-OMNJE,Non-Manager,Medium,Flexible,Maintenance,30,30.88,3.7355,No
1300,4566-QVRRW,Manager,Small,Fixed,Maintenance,17,30.2025,1.9674,Yes
1301,1291-CUOCY,Manager,Large,Fixed,Support,78,33.53,16.9244,No
1302,9795-SHUHB,Manager,Large,Fixed,Support,72,30.91,8.6216,No
1303,3230-IUALN,Manager,Large,Fixed,Development,51,32.05,8.0672,No
1304,0042-RLHYP,Manager,Large,Flexible,Research,75,28.985,3.7938,No
1305,8519-IMDHU,Manager,Small,Fixed,Research,21,32.28,3.6911,Yes
1306,4945-RVMTE,Manager,Small,Fixed,Research,34,30.9775,4.2929,No
1307,0201-OAMXR,Manager,Medium,Flexible,Support,76,33.7775,17.2552,Yes
1308,1866-NXPSP,Manager,Medium,Fixed,Development,42,31.7775,6.3603,No
1309,3372-KWFBM,Manager,Small,Fixed,Maintenance,22,32.33,3.562,Yes
1310,7831-QGOXH,Manager,Small,Fixed,Maintenance,24,32.26,4.1078,Yes
1311,6393-WRYZE,Manager,Small,Fixed,Maintenance,40,32.8825,7.4151,Yes
1312,3941-XTSKM,Non-Manager,Medium,Fixed,Support,48,30.255,5.0981,No
1313,1661-CZBAU,Manager,Medium,Fixed,Research,54,31.5475,8.2584,No
1314,6599-RCLCJ,Manager,Small,Fixed,Maintenance,53,33.4775,11.2491,Yes
1315,9831-BPFRI,Manager,Medium,Fixed,Maintenance,45,32.4775,7.9489,Yes
1316,5158-RIVOP,Manager,Large,Flexible,Support,17,29.045,1.4046,No
1317,9788-YTFGE,Manager,Small,Fixed,Development,13,28.9975,1.295,No
1318,9277-JOOMO,Manager,Small,Flexible,Development,9,29.23,1.1727,No
1319,1907-YLNYW,Manager,Small,Fixed,Maintenance,14,31.335,2.158,No
1320,1725-MIMXW,Manager,Small,Fixed,Development,7,28.9725,1.0389,Yes
1321,8947-YRTDV,Manager,Medium,Flexible,Development,38,32.74,7.2631,No
1322,3161-ONRWK,Manager,Medium,Fixed,Research,66,31.2925,8.8566,No
1323,0114-RSRRW,Manager,Small,Fixed,Research,16,28.9975,1.3755,No
1324,4565-NLZBV,Manager,Large,Fixed,Research,77,29.2325,4.4203,No
1325,0031-PVLZI,Manager,Small,Flexible,Development,10,29.0175,1.1527,Yes
1326,7206-GZCDC,Manager,Small,Fixed,Maintenance,7,31.4625,1.1385,Yes
1327,6682-VCIXC,Non-Manager,Medium,Fixed,Research,49,30.5625,5.3032,No
1328,4791-QRGMF,Manager,Medium,Fixed,Research,65,32.975,12.9222,Yes
1329,6475-VHUIZ,Manager,Small,Flexible,Maintenance,29,30.7125,3.4431,No
1330,3910-MRQOY,Manager,Large,Flexible,Research,78,28.97,3.9929,No
1331,0661-WCQNQ,Manager,Medium,Fixed,Support,28,30.8125,3.5844,No
1332,7537-RBWEA,Non-Manager,Small,Fixed,Development,7,29.2575,1.0503,No
1333,4656-CAURT,Manager,Large,Flexible,Research,75,29.1975,4.4262,No
1334,0121-SNYRK,Non-Manager,Medium,Fixed,Development,56,29.77,4.4978,No
1335,1768-ZAIFU,Non-Manager,Small,Fixed,Maintenance,7,29.26,1.0504,Yes
1336,4671-LXRDQ,Manager,Small,Fixed,Development,8,30.25,1.1929,Yes
1337,3733-LSYCE,Manager,Small,Flexible,Research,21,31.7675,3.2291,No
1338,6265-FRMTQ,Manager,Large,Flexible,Research,37,29.02,2.2182,No
1339,1934-SJVJK,Manager,Small,Flexible,Development,7,29.0075,1.0403,Yes
1340,3838-OZURD,Manager,Small,Fixed,Support,72,33.25,15.2665,Yes
1341,1371-DWPAZ,Non-Manager,Large,Flexible,Support,6,30.8025,5.566600882,No
1342,9269-CQOOL,Manager,Small,Fixed,Support,9,30.735,1.3389,Yes
1343,2017-CCBLH,Manager,Large,Flexible,Development,14,29,1.2832,No
1344,7690-KPNCU,Manager,Medium,Fixed,Support,70,31.6525,10.3773,No
1345,0536-BGFMZ,Manager,Small,Flexible,Development,34,29.025,2.1261,No
1346,2293-IJWPS,Manager,Medium,Fixed,Support,63,33.0375,12.97,No
1347,2845-HSJCY,Manager,Small,Fixed,Maintenance,20,32.3625,3.5172,Yes
